,m,x,y,z,vx,vy,vz
185,0.0015965248,1.65948,-19.1637,6.6218,-0.774273,1.38219,-0.40454
186,0.0015965248,1.81646,-18.8923,6.66517,0.00563478,0.462137,0.173816
187,0.0015965248,1.61127,-18.916,6.74591,0.0796247,1.44452,-0.947473
188,0.0015965248,1.64488,-18.8708,6.7861,0.376779,1.25493,-0.0969904
189,0.0015965248,1.9393,-19.063,6.91652,-0.541811,0.168477,-0.218526
190,0.0015965248,1.8621,-18.9825,6.77591,0.414977,0.0101249,-0.171302
191,0.0015965248,1.69368,-19.2196,6.82707,-1.12806,1.06136,-1.01511
192,0.0015965248,1.83448,-19.2115,6.82911,-1.28336,0.605382,-0.675825
193,0.0015965248,1.7392,-18.8115,6.77017,0.173141,1.32733,-0.563171
194,0.0015965248,1.74206,-18.9072,6.81887,0.554804,1.19969,-0.994877
195,0.0015965248,1.63362,-19.2155,6.81589,-1.04095,1.23419,-0.896481
196,0.0015965248,1.70239,-18.9329,6.77916,0.662912,1.29661,0.114859
197,0.0015965248,1.78773,-18.805,6.92093,0.0399289,0.774006,-0.308592
198,0.0015965248,1.60465,-18.9162,6.81687,-0.044757,1.70161,-0.737513
199,0.0015965248,1.90873,-18.9319,6.8051,0.457293,0.777609,-0.748169
200,0.0015965248,1.88126,-19.1117,6.77333,-0.837945,0.332345,-1.29634
201,0.0015965248,1.57331,-19.0091,6.72535,0.0152041,1.71793,-0.246403
202,0.0015965248,1.60977,-18.9164,6.85816,0.45162,1.18159,-0.607681
203,0.0015965248,1.9181,-18.9882,6.84324,-0.332061,-0.120332,-0.145686
204,0.0015965248,1.8433,-19.2538,6.74662,-0.998295,0.377032,-0.371393
205,0.0015965248,1.85661,-18.9984,6.7064,0.117932,0.0827645,-1.01764
206,0.0015965248,1.66175,-19.2094,6.86054,-0.937249,1.62784,-0.130298
207,0.0015965248,1.76031,-18.9929,7.03806,-0.0399263,0.551891,-0.156445
208,0.0015965248,1.92425,-19.1311,6.85195,-0.919831,0.106842,-0.10046
209,0.0015965248,1.50506,-19.0911,6.81034,-0.380006,1.62628,-0.347359
210,0.0015965248,1.93829,-18.8767,6.86688,0.0363064,0.46945,-0.669314
211,0.0015965248,1.62294,-19.2154,6.7207,-0.908736,1.53607,-0.225957
212,0.0015965248,1.85483,-19.2069,6.91221,-0.514523,0.0689702,-0.479815
213,0.0015965248,1.85983,-19.0507,6.68998,-0.46236,-0.273967,-0.481847
214,0.0015965248,1.61687,-19.1217,6.8625,-0.7701,1.91788,-0.249113
215,0.0015965248,1.89131,-19.0841,6.67929,-0.937861,0.0147341,-0.309237
216,0.0015965248,1.59049,-18.9858,6.73688,-0.133176,1.91021,-0.48996
217,0.0015965248,1.60335,-18.8628,6.84063,0.0629412,1.52622,-0.152463
218,0.0015965248,1.59308,-19.0246,6.86631,-0.0115753,1.59075,0.356291
219,0.0015965248,1.65978,-18.9384,6.99287,0.226176,1.06029,-0.235382
220,0.0015965248,1.59932,-18.9746,6.82597,0.142138,1.85661,-0.52709
221,0.0015965248,1.97237,-19.0691,6.8304,-0.570665,0.0320852,-0.156114
222,0.0015965248,1.65924,-18.9797,6.90249,0.129669,1.02647,-1.3961
