m,x,y,z,vx,vy,vz
0.0031930496,1.91786,-19.1232,6.831160000000001,-0.786927,0.423253,-0.0740334
0.0031930496,1.8659700000000001,-18.9187,6.77963,-0.147182,0.114549,-0.319932
0.0031930496,1.6939400000000002,-19.1661,6.90706,-1.0344200000000001,0.75267,-0.7109810000000001
0.0031930496,1.59861,-19.0058,6.836110000000001,-0.00913277,1.43129,0.131367
0.0031930496,1.61994,-18.969,6.93531,-0.419786,1.31715,-0.592409
0.0031930496,1.88452,-19.0174,6.91442,-0.288732,0.212166,-0.41529799999999994
0.0031930496,1.85641,-19.1012,6.73367,-0.942897,0.0742509,-0.271071
0.0031930496,1.8331400000000002,-19.0432,6.922860000000001,-0.242677,0.0466043,-0.325054
0.0031930496,1.6460099999999998,-18.9864,6.72772,0.0932977,1.22617,-1.1389
0.0031930496,1.70016,-19.0834,6.68465,-0.49267700000000003,1.11758,0.55719
0.0031930496,1.86473,-18.9687,6.865810000000001,0.12704400000000002,0.27875,-0.765996
0.0031930496,1.8278599999999998,-18.9162,6.87886,0.216193,0.9654940000000001,-0.8535870000000001
0.0031930496,1.7891099999999998,-18.9274,6.7282,0.512459,0.687271,-0.590152
0.0031930496,1.7890099999999998,-18.9113,6.76245,0.558419,0.844234,-0.271958
0.0031930496,1.8579299999999999,-18.9403,6.9145199999999996,-0.07483739999999998,0.327673,-0.22711599999999998
0.0031930496,1.8405200000000002,-19.1632,6.73398,-0.9355469999999999,0.236321,-0.129025
0.0031930496,1.5891899999999999,-19.0783,6.7689,-0.047649800000000006,1.61458,-0.1412
0.0031930496,1.8836,-19.0345,6.6437100000000004,-0.11278099999999999,0.648741,-0.042983999999999994
0.0031930496,1.81005,-19.1352,6.705260000000001,-1.2983799999999999,0.528108,-0.350817
0.0031930496,1.6379299999999999,-18.8873,6.778060000000001,0.251729,1.19628,-0.27300599999999997
0.0031930496,1.84267,-18.9533,6.888510000000001,-0.192748,0.0569211,-0.10571199999999999
0.0031930496,1.70373,-18.9089,6.73515,0.47133,0.9757899999999999,-0.644257
0.0031930496,1.6840400000000002,-19.0825,6.88927,-0.687463,0.8014600000000001,-1.39988
0.0031930496,1.78075,-18.9512,6.68094,0.154363,0.788423,0.318967
0.0031930496,1.8165099999999998,-19.1156,6.7759100000000005,-0.711565,-0.25345500000000004,-0.309684
0.0031930496,1.83362,-18.933,6.69487,0.34623699999999996,0.678182,-0.557723
0.0031930496,1.6875900000000001,-19.0007,6.9183,0.25712399999999996,1.39901,-0.00587863
0.0031930496,1.6566400000000001,-18.9812,6.67927,-0.331795,1.54987,0.157918
0.0031930496,1.86017,-18.9079,6.768910000000001,0.264407,0.553821,0.0168313
0.0031930496,1.78835,-19.2402,6.80121,-1.07003,0.8267,-0.6348739999999999
0.0031930496,1.60658,-18.9329,6.78235,0.317416,0.800672,0.0544466
0.0031930496,1.7918599999999998,-18.919,6.706810000000001,0.394382,0.45827399999999996,-0.477662
